won,frame,person,file,x,y,w,h
WON02443785,5562,data/facedb2/timmermans__WON02443711__1324.png,data/frames/WON02443785/WON02443785__5562.png,763,117,306,435
WON02443785,4610,data/facedb2/vanderplas__WON02443711__2897.png,data/frames/WON02443785/WON02443785__4610.png,698,235,282,365
WON02443785,5659,data/facedb2/omtzigt__WON02443711__2096.png,data/frames/WON02443785/WON02443785__5659.png,966,167,293,404
WON02443785,4653,data/facedb2/vanderplas__WON02443711__1835.png,data/frames/WON02443785/WON02443785__4653.png,682,125,276,364
WON02443785,2983,data/facedb2/vanderplas__WON02443711__1835.png,data/frames/WON02443785/WON02443785__2983.png,844,219,246,336
WON02443785,5559,data/facedb2/timmermans__WON02443711__1324.png,data/frames/WON02443785/WON02443785__5559.png,774,122,309,442
WON02443785,1683,data/facedb2/bontenbal__WON02443799__710.png,data/frames/WON02443785/WON02443785__1683.png,991,135,251,348
WON02443785,2363,data/facedb2/timmermans__WON02443711__2223.png,data/frames/WON02443785/WON02443785__2363.png,886,117,298,415
WON02443785,5199,data/facedb2/yesilguz__WON02443711__2788.png,data/frames/WON02443785/WON02443785__5199.png,819,129,254,368
WON02443785,1908,data/facedb2/marijnissen__WON02441946__1273.png,data/frames/WON02443785/WON02443785__1908.png,926,122,275,387
WON02443785,5424,data/facedb2/omtzigt__WON02441460__2019.png,data/frames/WON02443785/WON02443785__5424.png,790,162,277,387
WON02443785,5507,data/facedb2/yesilguz__WON02443711__2788.png,data/frames/WON02443785/WON02443785__5507.png,1049,127,231,363
WON02443785,4622,data/facedb2/vanderplas__WON02443711__2897.png,data/frames/WON02443785/WON02443785__4622.png,594,190,267,381
WON02443785,3386,data/facedb2/wilders__WON02443711__1679.png,data/frames/WON02443785/WON02443785__3386.png,1021,176,288,407
WON02443785,1851,data/facedb2/omtzigt__WON02441460__2019.png,data/frames/WON02443785/WON02443785__1851.png,1018,179,260,361
WON02443785,1037,data/facedb2/yesilguz__WON02443711__2788.png,data/frames/WON02443785/WON02443785__1037.png,1142,171,229,383
WON02443785,1601,data/facedb2/marijnissen__WON02439236__744.png,data/frames/WON02443785/WON02443785__1601.png,706,132,260,385
WON02443785,502,data/facedb2/yesilguz__WON02443711__2952.png,data/frames/WON02443785/WON02443785__502.png,787,144,247,346
WON02443785,874,data/facedb2/wilders__WON02439236__716.png,data/frames/WON02443785/WON02443785__874.png,714,283,260,349
WON02443785,3004,data/facedb2/vanderplas__WON02443711__1835.png,data/frames/WON02443785/WON02443785__3004.png,908,201,236,338
WON02443785,4297,data/facedb2/bontenbal__WON02441946__3159.png,data/frames/WON02443785/WON02443785__4297.png,970,164,251,348
WON02443785,5013,data/facedb2/omtzigt__WON02443711__2096.png,data/frames/WON02443785/WON02443785__5013.png,1026,155,269,354
WON02443785,3463,data/facedb2/marijnissen__WON02439236__744.png,data/frames/WON02443785/WON02443785__3463.png,959,104,264,402
WON02443785,1445,data/facedb2/marijnissen__WON02439236__744.png,data/frames/WON02443785/WON02443785__1445.png,955,136,250,364
WON02443785,3826,data/facedb2/jetten__WON02443711__1711.png,data/frames/WON02443785/WON02443785__3826.png,1014,169,299,408
WON02443785,1013,data/facedb2/yesilguz__WON02443711__2952.png,data/frames/WON02443785/WON02443785__1013.png,1068,131,228,368
WON02443785,2457,data/facedb2/jetten__WON02439060__909.png,data/frames/WON02443785/WON02443785__2457.png,1051,152,250,374
WON02443785,4468,data/facedb2/bontenbal__WON02443799__710.png,data/frames/WON02443785/WON02443785__4468.png,705,224,265,360
WON02443785,1865,data/facedb2/bontenbal__WON02441946__2851.png,data/frames/WON02443785/WON02443785__1865.png,600,197,264,350
WON02443785,5394,data/facedb2/yesilguz__WON02443711__2377.png,data/frames/WON02443785/WON02443785__5394.png,997,135,234,344
WON02443785,899,data/facedb2/wilders__WON02439236__716.png,data/frames/WON02443785/WON02443785__899.png,756,208,252,356
WON02443785,1547,data/facedb2/bontenbal__WON02441946__3159.png,data/frames/WON02443785/WON02443785__1547.png,871,171,232,347
WON02443785,1594,data/facedb2/bontenbal__WON02443799__710.png,data/frames/WON02443785/WON02443785__1594.png,939,136,240,337
WON02443785,4616,data/facedb2/vanderplas__WON02443711__1835.png,data/frames/WON02443785/WON02443785__4616.png,632,164,266,358
WON02443785,4981,data/facedb2/yesilguz__WON02443799__665.png,data/frames/WON02443785/WON02443785__4981.png,537,172,241,331
WON02443785,3390,data/facedb2/jetten__WON02443711__1711.png,data/frames/WON02443785/WON02443785__3390.png,629,183,238,354
WON02443785,3005,data/facedb2/vanderplas__WON02443711__1835.png,data/frames/WON02443785/WON02443785__3005.png,916,210,239,336
WON02443785,5290,data/facedb2/timmermans__WON02443711__2052.png,data/frames/WON02443785/WON02443785__5290.png,661,71,309,411
WON02443785,1804,data/facedb2/omtzigt__WON02441460__2019.png,data/frames/WON02443785/WON02443785__1804.png,1212,161,284,375
WON02443785,3408,data/facedb2/wilders__WON02443711__642.png,data/frames/WON02443785/WON02443785__3408.png,1120,201,285,417
WON02443785,5508,data/facedb2/yesilguz__WON02443711__2788.png,data/frames/WON02443785/WON02443785__5508.png,1029,167,242,373
WON02443785,1844,data/facedb2/omtzigt__WON02441460__2019.png,data/frames/WON02443785/WON02443785__1844.png,938,208,262,368
WON02443785,3397,data/facedb2/jetten__WON02439060__909.png,data/frames/WON02443785/WON02443785__3397.png,657,158,243,349
WON02443785,2605,data/facedb2/timmermans__WON02443711__990.png,data/frames/WON02443785/WON02443785__2605.png,559,88,286,406
WON02443785,2896,data/facedb2/timmermans__WON02443711__2052.png,data/frames/WON02443785/WON02443785__2896.png,863,77,300,412
WON02443785,4383,data/facedb2/bontenbal__WON02441946__3159.png,data/frames/WON02443785/WON02443785__4383.png,936,200,259,367
WON02443785,3383,data/facedb2/wilders__WON02441946__482.png,data/frames/WON02443785/WON02443785__3383.png,1021,175,289,402
WON02443785,3511,data/facedb2/jetten__WON02439060__909.png,data/frames/WON02443785/WON02443785__3511.png,1077,158,301,427
WON02443785,5457,data/facedb2/omtzigt__WON02441460__2019.png,data/frames/WON02443785/WON02443785__5457.png,908,164,271,380
WON02443785,932,data/facedb2/wilders__WON02441946__482.png,data/frames/WON02443785/WON02443785__932.png,1288,162,264,367
WON02443785,745,data/facedb2/wilders__WON02441946__482.png,data/frames/WON02443785/WON02443785__745.png,794,234,249,346
WON02443785,4100,data/facedb2/vanderplas__WON02443711__1835.png,data/frames/WON02443785/WON02443785__4100.png,904,188,279,376
WON02443785,1979,data/facedb2/bontenbal__WON02443799__710.png,data/frames/WON02443785/WON02443785__1979.png,972,168,254,347
WON02443785,1616,data/facedb2/marijnissen__WON02441946__1263.png,data/frames/WON02443785/WON02443785__1616.png,896,174,258,404
WON02443785,4093,data/facedb2/vanderplas__WON02443711__986.png,data/frames/WON02443785/WON02443785__4093.png,706,169,275,369
WON02443785,3278,data/facedb2/jetten__WON02439060__855.png,data/frames/WON02443785/WON02443785__3278.png,962,191,246,352
WON02443785,1902,data/facedb2/marijnissen__WON02441946__1273.png,data/frames/WON02443785/WON02443785__1902.png,982,141,274,401
WON02443785,1529,data/facedb2/omtzigt__WON02441460__2019.png,data/frames/WON02443785/WON02443785__1529.png,698,173,270,362
WON02443785,3385,data/facedb2/wilders__WON02441946__482.png,data/frames/WON02443785/WON02443785__3385.png,1033,183,295,405
WON02443785,1667,data/facedb2/marijnissen__WON02441946__1263.png,data/frames/WON02443785/WON02443785__1667.png,732,114,253,384
WON02443785,4352,data/facedb2/bontenbal__WON02443799__710.png,data/frames/WON02443785/WON02443785__4352.png,976,198,258,352
WON02443785,5640,data/facedb2/timmermans__WON02443711__2398.png,data/frames/WON02443785/WON02443785__5640.png,839,93,297,447
WON02443785,5598,data/facedb2/timmermans__WON02443711__2223.png,data/frames/WON02443785/WON02443785__5598.png,797,88,313,443
WON02443785,5131,data/facedb2/omtzigt__WON02443711__2096.png,data/frames/WON02443785/WON02443785__5131.png,969,149,266,369
WON02443785,4191,data/facedb2/vanderplas__WON02443711__986.png,data/frames/WON02443785/WON02443785__4191.png,967,151,283,369
WON02443785,4436,data/facedb2/vanderplas__WON02441460__2731.png,data/frames/WON02443785/WON02443785__4436.png,903,173,272,383
WON02443785,5065,data/facedb2/omtzigt__WON02443711__2096.png,data/frames/WON02443785/WON02443785__5065.png,1056,164,271,369
WON02443785,4634,data/facedb2/vanderplas__WON02441460__2731.png,data/frames/WON02443785/WON02443785__4634.png,638,128,273,365
WON02443785,4579,data/facedb2/bontenbal__WON02443799__710.png,data/frames/WON02443785/WON02443785__4579.png,983,170,262,351
WON02443785,2591,data/facedb2/timmermans__WON02443711__2623.png,data/frames/WON02443785/WON02443785__2591.png,683,130,300,440
WON02443785,1880,data/facedb2/omtzigt__WON02441460__2019.png,data/frames/WON02443785/WON02443785__1880.png,1154,161,277,372
WON02443785,2510,data/facedb2/vanderplas__WON02443711__986.png,data/frames/WON02443785/WON02443785__2510.png,839,154,249,341
WON02443785,1373,data/facedb2/omtzigt__WON02441460__2019.png,data/frames/WON02443785/WON02443785__1373.png,613,157,273,363
WON02443785,1084,data/facedb2/wilders__WON02443711__797.png,data/frames/WON02443785/WON02443785__1084.png,599,154,252,355
WON02443785,2058,data/facedb2/omtzigt__WON02441460__2019.png,data/frames/WON02443785/WON02443785__2058.png,696,185,266,343
WON02443785,2732,data/facedb2/timmermans__WON02443711__990.png,data/frames/WON02443785/WON02443785__2732.png,707,84,283,416
WON02443785,3267,data/facedb2/jetten__WON02439060__909.png,data/frames/WON02443785/WON02443785__3267.png,1081,159,241,363
WON02443785,2513,data/facedb2/vanderplas__WON02443711__2897.png,data/frames/WON02443785/WON02443785__2513.png,927,165,248,356
WON02443785,1807,data/facedb2/omtzigt__WON02443711__2096.png,data/frames/WON02443785/WON02443785__1807.png,1255,169,287,370
WON02443785,5625,data/facedb2/timmermans__WON02443711__1674.png,data/frames/WON02443785/WON02443785__5625.png,811,108,314,443
WON02443785,3257,data/facedb2/jetten__WON02439060__855.png,data/frames/WON02443785/WON02443785__3257.png,964,172,232,350
WON02443785,4266,data/facedb2/vanderplas__WON02441460__2731.png,data/frames/WON02443785/WON02443785__4266.png,761,167,273,381
WON02443785,1566,data/facedb2/omtzigt__WON02441460__2019.png,data/frames/WON02443785/WON02443785__1566.png,1161,216,299,384
WON02443785,5576,data/facedb2/yesilguz__WON02443711__2119.png,data/frames/WON02443785/WON02443785__5576.png,1206,171,244,360
WON02443785,5543,data/facedb2/timmermans__WON02443711__1674.png,data/frames/WON02443785/WON02443785__5543.png,670,90,304,434
WON02443785,5680,data/facedb2/omtzigt__WON02441460__2019.png,data/frames/WON02443785/WON02443785__5680.png,990,148,287,405
WON02443785,3394,data/facedb2/wilders__WON02443711__1679.png,data/frames/WON02443785/WON02443785__3394.png,1065,180,300,400
WON02443785,4623,data/facedb2/vanderplas__WON02443711__1160.png,data/frames/WON02443785/WON02443785__4623.png,648,207,268,381
WON02443785,3373,data/facedb2/jetten__WON02443711__1711.png,data/frames/WON02443785/WON02443785__3373.png,1047,156,240,354
WON02443785,5674,data/facedb2/timmermans__WON02443711__990.png,data/frames/WON02443785/WON02443785__5674.png,821,94,299,439
WON02443785,5110,data/facedb2/omtzigt__WON02441460__2019.png,data/frames/WON02443785/WON02443785__5110.png,962,174,260,351
WON02443785,1524,data/facedb2/omtzigt__WON02441460__2019.png,data/frames/WON02443785/WON02443785__1524.png,681,180,266,352
WON02443785,3672,data/facedb2/wilders__WON02439236__716.png,data/frames/WON02443785/WON02443785__3672.png,1036,178,247,339
WON02443785,919,data/facedb2/yesilguz__WON02443711__2788.png,data/frames/WON02443785/WON02443785__919.png,550,149,229,361
WON02443785,5380,data/facedb2/yesilguz__WON02443711__2788.png,data/frames/WON02443785/WON02443785__5380.png,718,121,232,348
WON02443785,3710,data/facedb2/wilders__WON02443711__1737.png,data/frames/WON02443785/WON02443785__3710.png,987,150,239,335
WON02443785,2458,data/facedb2/jetten__WON02439060__909.png,data/frames/WON02443785/WON02443785__2458.png,1062,150,246,360
WON02443785,3695,data/facedb2/wilders__WON02443711__1679.png,data/frames/WON02443785/WON02443785__3695.png,1128,156,234,327
WON02443785,1926,data/facedb2/marijnissen__WON02439236__744.png,data/frames/WON02443785/WON02443785__1926.png,925,126,275,407
WON02443785,2902,data/facedb2/timmermans__WON02443711__1695.png,data/frames/WON02443785/WON02443785__2902.png,864,76,297,412
WON02443785,1375,data/facedb2/omtzigt__WON02441460__2019.png,data/frames/WON02443785/WON02443785__1375.png,578,162,278,364
WON02443785,4569,data/facedb2/bontenbal__WON02443799__710.png,data/frames/WON02443785/WON02443785__4569.png,1038,190,261,354
WON02443785,5215,data/facedb2/yesilguz__WON02439236__33.png,data/frames/WON02443785/WON02443785__5215.png,645,142,236,373
WON02443785,5578,data/facedb2/yesilguz__WON02443711__2792.png,data/frames/WON02443785/WON02443785__5578.png,1191,154,237,363
WON02443785,1585,data/facedb2/bontenbal__WON02439236__688.png,data/frames/WON02443785/WON02443785__1585.png,852,164,242,330
WON02443785,3618,data/facedb2/marijnissen__WON02441946__1273.png,data/frames/WON02443785/WON02443785__3618.png,754,137,265,377
WON02443785,5668,data/facedb2/yesilguz__WON02443711__1967.png,data/frames/WON02443785/WON02443785__5668.png,1038,145,233,371
